-0.012847,-1.999983,-9E-06,0.346311,0.346458
0.00787,-1.999983,-9E-06,0.485542,0.485655
0.035641,-1.999983,-9E-06,0.626549,0.626635
0.070376,-1.999984,-9E-06,0.764633,0.764704
0.11205,-1.999984,-9E-06,0.905163,0.905223
0.160758,-1.999984,-9E-06,1.044608,1.044659
0.216359,-1.999985,-9E-06,1.180627,1.180673
0.279968,-1.999986,-9E-06,1.314994,1.315034
0.347436,-1.999986,-9E-06,1.440061,1.440097
0.4225,-1.999987,-1E-05,1.563734,1.563767
0.503536,-1.999988,-1E-05,1.67659,1.676619
0.589973,-1.999988,-1E-05,1.782225,1.782252
0.681608,-1.999989,-1E-05,1.884562,1.884587
0.778279,-1.99999,-1E-05,1.983704,1.983727
0.87983,-1.999991,-1E-05,2.079751,2.079773
0.986108,-1.999992,-1E-05,2.172798,2.172819
1.096965,-1.999993,-1E-05,2.262941,2.262961
1.212259,-1.999995,-1.1E-05,2.35027,2.350288
1.33185,-1.999996,-1.1E-05,2.434871,2.434889
1.455605,-1.999997,-1.1E-05,2.516832,2.516849
1.583382,-1.999999,-1.1E-05,2.595549,2.595565
1.715018,-2,-1.2E-05,2.671444,2.67146
1.850345,-2.000002,-1.2E-05,2.742281,2.742296
1.989031,-2.000003,-1.3E-05,2.806759,2.806773
2.13086,-2.000005,-1.3E-05,2.867402,2.867416
2.275566,-2.000007,-1.4E-05,2.922482,2.922495
2.422981,-2.000009,-1.5E-05,2.975813,2.975826
2.572987,-2.000012,-1.5E-05,3.026121,3.026134
2.725468,-2.000014,-1.6E-05,3.074844,3.074856
2.880347,-2.000017,-1.7E-05,3.122046,3.122058
3.037549,-2.000019,-1.8E-05,3.167774,3.167785
3.197002,-2.000022,-1.9E-05,3.212074,3.212085
3.358638,-2.000032,-0.000107,3.256843,3.256867
3.522375,-2.000151,-0.0011,3.296584,3.296619
3.687934,-2.000576,-0.003979,3.332011,3.332079
3.855308,-2.00161,-0.008211,3.367999,3.368164
4.024488,-2.003354,-0.012289,3.403356,3.403672
4.195436,-2.005752,-0.015687,3.438944,3.439415
4.368167,-2.008587,-0.017548,3.472239,3.472799
4.556514,-2.01182,-0.017098,3.506286,3.506746
4.711611,-2.01441,-0.015922,3.538099,3.538579
4.896222,-2.017158,-0.01387,3.561666,3.562019
5.074572,-2.019478,-0.012178,3.573515,3.573789
5.253432,-2.021546,-0.011401,3.581199,3.581455
5.432749,-2.023722,-0.011784,3.594821,3.595052
5.612728,-2.025794,-0.011112,3.609186,3.609398
5.793428,-2.027762,-0.010742,3.623298,3.623511
5.978514,-2.029673,-0.010438,3.637774,3.638005
6.160796,-2.031516,-0.010428,3.651867,3.65216
6.343333,-2.033586,-0.011519,3.65606,3.65624
6.522697,-2.035613,-0.01137,3.666745,3.666999
6.706217,-2.037731,-0.011524,3.676,3.676254
6.893877,-2.039909,-0.011668,3.685221,3.685479
7.074584,-2.042016,-0.011656,3.692581,3.692841
7.259347,-2.044169,-0.011645,3.69994,3.7002
7.448179,-2.046365,-0.011605,3.707233,3.707492
7.629951,-2.048471,-0.01157,3.714008,3.714265
7.815769,-2.050619,-0.011549,3.720681,3.720938
8.001915,-2.052768,-0.011549,3.727122,3.727379
8.188373,-2.054922,-0.011548,3.732902,3.73316
8.375085,-2.057078,-0.011548,3.73758,3.737837
8.562028,-2.059237,-0.011548,3.742108,3.742366
8.749193,-2.061398,-0.011547,3.7465,3.746758
8.936574,-2.063562,-0.011546,3.75076,3.751019
9.124165,-2.065728,-0.011546,3.754885,3.755144
9.311959,-2.067896,-0.011546,3.758875,3.759134
9.49995,-2.070067,-0.011545,3.762739,3.762999
9.68813,-2.07224,-0.011545,3.766488,3.766748
9.876496,-2.074414,-0.011544,3.770124,3.770384
10.06504,-2.076591,-0.011544,3.773644,3.773904
10.253757,-2.07877,-0.011544,3.777048,3.777309
10.442642,-2.08095,-0.011543,3.780346,3.780606
10.631689,-2.083132,-0.011543,3.783546,3.783807
10.820894,-2.085317,-0.011543,3.78665,3.78691
11.010236,-2.087502,-0.011543,3.788756,3.789016
11.199663,-2.089689,-0.011543,3.790315,3.790576
11.389151,-2.091876,-0.011542,3.79093,3.791191
11.58244,-2.094107,-0.011542,3.791057,3.791318
11.768141,-2.09625,-0.011542,3.790281,3.790542
11.957573,-2.098437,-0.011542,3.789051,3.789312
12.146945,-2.100623,-0.011542,3.787856,3.788116
12.336258,-2.102808,-0.011542,3.7867,3.78696
12.525514,-2.104992,-0.011542,3.785584,3.785845
12.714716,-2.107176,-0.011542,3.784504,3.784765
12.903864,-2.10936,-0.011542,3.783454,3.783714
13.09296,-2.111542,-0.011542,3.782433,3.782694
13.282006,-2.113724,-0.011542,3.781448,3.781708
13.471004,-2.115906,-0.011542,3.780497,3.780757
13.659955,-2.118087,-0.011542,3.779575,3.779836
13.848861,-2.120268,-0.011543,3.778678,3.778938
